sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
165; -1.4038; -0.4402; 110.8964; -0.0244; 0.2930; -9.8008;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
166; -1.3974; -0.4467; 111.3036; -0.0352; 0.1025; -9.7861;   0.01;  -0.03;   0.88;  -0.28;   0.13;   0.07 
167; -1.3952; -0.4476; 111.7108; -0.1025; 0.1758; -9.7725;   0.01;  -0.03;   0.89;  -0.27;   0.13;   0.06 
168; -1.3890; -0.4542; 112.1247; -0.0498; 0.3467; -9.8535;   0.01;  -0.03;   0.89;  -0.27;   0.12;   0.07 
169; -1.3924; -0.4589; 112.5277; -0.1084; 0.2373; -9.8184;   0.01;  -0.03;   0.88;  -0.28;   0.14;   0.07 
170; -1.3862; -0.4657; 112.9310; -0.0508; 0.1416; -9.8154;   0.01;  -0.03;   0.88;  -0.28;   0.13;   0.07 
171; -1.3840; -0.4667; 113.3328; -0.0586; 0.2451; -9.8184;   0.01;  -0.03;   0.89;  -0.28;   0.13;   0.07 
172; -1.3780; -0.4734; 113.7428; -0.1279; 0.2998; -9.8135;   0.01;  -0.03;   0.89;  -0.28;   0.13;   0.07 
173; -1.3760; -0.4744; 114.1530; -0.0820; 0.1543; -9.8242;   0.01;  -0.03;   0.88;  -0.28;   0.13;   0.07 
174; -1.3760; -0.4850; 114.5603; -0.0967; 0.2920; -9.8018;   0.01;  -0.04;   0.89;  -0.28;   0.13;   0.06 
175; -1.3740; -0.4860; 114.9678; -0.0195; 0.1162; -9.8164;   0.01;  -0.03;   0.89;  -0.28;   0.13;   0.06 
176; -1.3681; -0.4930; 115.3725; -0.0947; 0.3564; -9.7998;   0.01;  -0.04;   0.89;  -0.29;   0.14;   0.06 
177; -1.3661; -0.4941; 115.7774; -0.0479; 0.2012; -9.7969;   0.01;  -0.03;   0.88;  -0.28;   0.13;   0.06 
178; -1.3665; -0.5048; 116.1827; -0.0557; 0.2217; -9.8311;   0.01;  -0.03;   0.89;  -0.28;   0.14;   0.06 
179; -1.3646; -0.5059; 116.5943; -0.0654; 0.1611; -9.8145;   0.01;  -0.03;   0.89;  -0.28;   0.13;   0.06 
180; -1.3590; -0.5129; 117.0047; -0.0547; 0.3057; -9.8428;   0.01;  -0.03;   0.89;  -0.29;   0.12;   0.07 
181; -1.3572; -0.5141; 117.4061; -0.0625; 0.0898; -9.8408;   0.01;  -0.03;   0.88;  -0.28;   0.13;   0.06 
182; -1.3518; -0.5212; 117.8155; -0.1201; 0.2344; -9.7939;   0.01;  -0.03;   0.89;  -0.28;   0.13;   0.06 
183; -1.3501; -0.5224; 118.2235; -0.0928; 0.3887; -9.8252;   0.01;  -0.03;   0.89;  -0.29;   0.13;   0.07 
184; -1.3448; -0.5296; 118.6304; -0.0840; 0.2363; -9.7783;   0.01;  -0.03;   0.88;  -0.28;   0.13;   0.06 
185; -1.3492; -0.5345; 119.0376; -0.0977; 0.2373; -9.7305;   0.01;  -0.03;   0.88;  -0.29;   0.12;   0.07 
186; -1.3439; -0.5418; 119.4419; -0.0732; 0.2646; -9.8320;   0.01;  -0.03;   0.89;  -0.29;   0.13;   0.07 
187; -1.3423; -0.5431; 119.8466; -0.1133; 0.3340; -9.7793;   0.01;  -0.03;   0.89;  -0.29;   0.13;   0.07 
188; -1.3374; -0.5504; 120.2593; -0.0674; 0.1699; -9.7803;   0.01;  -0.03;   0.88;  -0.29;   0.13;   0.06 
189; -1.3358; -0.5517; 120.6615; -0.0586; 0.2969; -9.7959;   0.01;  -0.03;   0.89;  -0.29;   0.12;   0.07 
190; -1.3369; -0.5626; 121.0716; -0.0645; 0.1484; -9.7930;   0.01;  -0.03;   0.89;  -0.29;   0.13;   0.06 
